date,open,close,high,low,volume,code
2017-03-01,34.536,34.44,34.593,34.412,355081.0,601318
2017-03-02,34.612,34.155,34.612,34.136,465656.0,601318
2017-03-03,34.097,34.145,34.231,34.012,251354.0,601318
2017-03-06,34.107,34.126,34.231,34.05,286717.0,601318
2017-03-07,34.126,34.25,34.259,34.097,237211.0,601318
2017-03-08,34.193,34.116,34.212,34.069,222856.0,601318
2017-03-09,34.069,34.078,34.097,33.812,377966.0,601318
2017-03-10,34.012,33.907,34.069,33.888,207446.0,601318
2017-03-13,33.907,34.259,34.326,33.869,359990.0,601318
2017-03-14,34.278,34.231,34.412,34.107,276964.0,601318
2017-03-15,34.174,34.25,34.288,34.059,268720.0,601318
2017-03-16,34.383,34.355,34.517,34.259,391641.0,601318
2017-03-17,34.402,34.05,34.497,33.926,542621.0,601318
2017-03-20,34.059,34.126,34.25,33.964,424589.0,601318
2017-03-21,34.317,34.545,34.564,34.164,970084.0,601318
2017-03-22,34.374,34.288,34.507,34.107,527906.0,601318
2017-03-23,34.459,34.831,35.174,34.421,1209059.0,601318
2017-03-24,34.907,34.812,35.345,34.478,944016.0,601318
2017-03-27,34.774,34.993,35.507,34.764,1228601.0,601318
2017-03-28,35.021,34.983,35.212,34.869,523346.0,601318
2017-03-29,35.136,35.031,35.278,34.945,525226.0,601318
2017-03-30,34.964,35.002,35.04,34.669,492881.0,601318
2017-03-31,34.936,35.25,35.374,34.84,637996.0,601318
2017-04-05,35.336,35.336,35.526,35.231,613499.0,601318
2017-04-06,35.345,35.202,35.364,35.031,523313.0,601318
2017-04-07,35.183,34.859,35.25,34.821,647609.0,601318
2017-04-10,34.821,34.717,34.964,34.65,484417.0,601318
2017-04-11,34.717,34.469,34.859,34.136,633225.0,601318
2017-04-12,34.45,34.297,34.593,33.24,665077.0,601318
2017-04-13,34.097,34.193,34.374,34.097,387590.0,601318
2017-04-14,34.193,34.183,34.326,33.964,370915.0,601318
2017-04-17,34.107,34.307,34.355,33.974,376602.0,601318
2017-04-18,34.288,34.002,34.374,33.974,355230.0,601318
2017-04-19,33.983,33.821,34.145,33.783,487050.0,601318
2017-04-20,33.964,34.097,34.202,33.869,416048.0,601318
2017-04-21,34.107,34.374,34.536,33.955,525203.0,601318
2017-04-24,34.374,34.45,34.536,34.278,549922.0,601318
2017-04-25,34.45,34.745,34.821,34.402,612813.0,601318
2017-04-26,34.831,35.726,36.117,34.736,1609359.0,601318
2017-04-27,35.707,36.021,36.44,35.659,1250054.0,601318
2017-04-28,36.098,36.155,36.259,35.821,678663.0,601318
2017-05-02,36.002,36.107,36.555,36.002,619325.0,601318
2017-05-03,36.145,36.193,36.46,36.021,505383.0,601318
2017-05-04,36.145,36.021,36.288,35.936,548573.0,601318
2017-05-05,35.907,35.488,36.059,35.431,623979.0,601318
2017-05-08,35.488,35.993,36.307,35.469,952932.0,601318
2017-05-09,35.917,36.183,36.269,35.917,595182.0,601318
2017-05-10,36.221,37.945,38.145,36.202,1589203.0,601318
2017-05-11,37.907,37.879,38.183,37.679,827794.0,601318
2017-05-12,37.812,39.003,39.336,37.812,1200171.0,601318
2017-05-15,39.26,38.955,39.964,38.688,716224.0,601318
2017-05-16,38.955,39.136,39.336,38.745,629862.0,601318
2017-05-17,39.05,38.498,39.136,38.279,779106.0,601318
2017-05-18,38.155,38.688,39.126,38.155,581678.0,601318
2017-05-19,38.66,39.06,39.364,38.66,420467.0,601318
2017-05-22,39.079,40.803,40.974,39.079,1025570.0,601318
2017-05-23,40.955,41.117,42.079,40.812,1060990.0,601318
2017-05-24,40.955,40.984,41.469,39.974,813519.0,601318
2017-05-25,40.955,43.327,43.393,40.907,1389899.0,601318
2017-05-26,43.241,43.031,43.669,42.727,783613.0,601318
2017-05-31,42.86,42.927,44.889,42.688,1009977.0,601318
2017-06-01,43.241,43.784,43.812,42.765,772361.0,601318
2017-06-02,43.708,42.822,44.165,42.508,826333.0,601318
2017-06-05,42.784,42.546,43.003,41.984,780002.0,601318
2017-06-06,42.479,43.841,43.908,42.479,967169.0,601318
2017-06-07,44.003,43.793,44.65,43.536,788200.0,601318
2017-06-08,43.717,45.355,45.384,43.641,832171.0,601318
2017-06-09,45.431,45.851,46.451,45.241,925676.0,601318
2017-06-12,45.736,46.603,47.279,45.736,859596.0,601318
2017-06-13,46.432,46.136,46.86,45.622,670461.0,601318
2017-06-14,46.317,44.965,46.517,44.765,834013.0,601318
2017-06-15,44.946,43.984,45.212,43.727,1041983.0,601318
2017-06-16,43.908,44.479,44.936,43.908,807231.0,601318
2017-06-19,44.727,46.251,46.317,44.47,808481.0,601318
2017-06-20,46.451,45.812,46.603,45.403,616355.0,601318
2017-06-21,46.003,47.079,47.203,45.298,849757.0,601318
2017-06-22,46.86,46.803,48.07,46.717,1146464.0,601318
2017-06-23,46.898,47.355,47.527,46.47,873719.0,601318
2017-06-26,47.613,47.355,48.355,47.003,953192.0,601318
2017-06-27,47.336,47.546,47.574,46.603,780835.0,601318
2017-06-28,47.336,46.298,47.374,46.241,691322.0,601318
2017-06-29,46.479,47.584,47.67,46.079,753228.0,601318
2017-06-30,47.432,47.251,47.813,46.936,598630.0,601318
2017-07-03,47.432,46.613,47.432,46.241,563199.0,601318
2017-07-04,46.479,45.641,46.517,45.632,683920.0,601318
2017-07-05,45.717,48.022,48.289,45.717,1272537.0,601318
2017-07-06,48.022,48.946,49.527,47.689,1137814.0,601318
2017-07-07,48.717,48.584,49.165,48.127,533925.0,601318
2017-07-10,48.594,48.698,49.489,48.279,570776.0,601318
2017-07-11,48.922,49.326,50.077,48.729,699539.0,601318
2017-07-12,49.452,48.729,50.549,48.546,870117.0,601318
2017-07-13,49.086,49.711,49.933,48.941,665342.0,601318
2017-07-14,49.769,50.809,50.828,49.394,707791.0,601318
2017-07-17,51.04,51.897,53.043,50.472,1408791.0,601318
2017-07-18,51.608,51.483,52.244,50.559,879029.0,601318
2017-07-19,51.685,51.839,52.456,51.136,771180.0,601318
2017-07-20,51.56,52.003,52.138,50.857,659198.0,601318
2017-07-21,51.223,50.029,51.3,49.971,1294791.0,601318
2017-07-24,50.145,50.655,51.127,49.76,904595.0,601318
2017-07-25,50.665,50.366,51.079,50.241,506834.0,601318
2017-07-26,50.164,49.962,50.549,49.374,657610.0,601318
2017-07-27,49.923,50.414,50.78,49.192,667132.0,601318
2017-07-28,50.26,49.962,50.511,49.875,491294.0,601318
2017-07-31,49.952,50.087,50.684,49.5,616005.0,601318
2017-08-01,50.26,52.812,52.86,50.26,1147936.0,601318
2017-08-02,52.773,52.032,52.783,51.878,723817.0,601318
2017-08-03,52.032,50.954,52.456,50.915,565311.0,601318
2017-08-04,51.021,50.01,51.214,49.923,666087.0,601318
2017-08-07,49.981,50.376,50.877,49.615,523852.0,601318
2017-08-08,50.357,50.501,50.607,49.981,367322.0,601318
2017-08-09,50.405,50.125,50.877,50.068,410734.0,601318
2017-08-10,50.135,48.845,50.501,48.633,846423.0,601318
2017-08-11,48.335,47.738,48.845,47.69,828145.0,601318
2017-08-14,48.132,48.614,49.105,47.795,791494.0,601318
2017-08-15,48.912,49.009,49.644,48.72,680849.0,601318
2017-08-16,48.96,49.307,49.384,48.652,340851.0,601318
2017-08-17,49.557,49.201,49.904,48.98,374711.0,601318
2017-08-18,50.453,51.194,51.859,49.702,1176428.0,601318
2017-08-21,51.416,51.059,52.263,50.819,716152.0,601318
2017-08-22,51.425,53.149,53.207,51.339,1009896.0,601318
2017-08-23,52.966,53.341,53.755,52.783,564884.0,601318
2017-08-24,53.486,53.072,54.189,52.908,560654.0,601318
2017-08-25,52.86,53.755,54.131,52.802,743106.0,601318
2017-08-28,53.9,54.112,55.604,53.9,803295.0,601318
2017-08-29,54.015,54.94,55.123,53.804,416774.0,601318
2017-08-30,54.882,54.314,55.489,54.169,470277.0,601318
2017-08-31,54.237,53.948,54.555,53.486,480957.0,601318
2017-09-01,53.967,54.083,54.92,53.534,571083.0,601318
2017-09-04,53.927,53.578,53.976,53.247,484051.0,601318
2017-09-05,53.82,54.685,54.986,53.539,563769.0,601318
2017-09-06,54.452,53.82,54.772,53.519,424063.0,601318
2017-09-07,54.015,53.344,54.228,53.267,329740.0,601318
2017-09-08,53.335,53.451,53.937,53.267,290322.0,601318
2017-09-11,53.636,52.451,54.384,52.383,804098.0,601318
2017-09-12,52.927,53.247,53.305,52.081,555954.0,601318
2017-09-13,53.237,53.5,53.782,52.781,398069.0,601318
2017-09-14,53.529,52.48,53.675,52.363,510191.0,601318
2017-09-15,52.548,51.858,52.655,51.635,754259.0,601318
2017-09-18,51.751,51.78,52.927,51.751,754002.0,601318
2017-09-19,52.159,51.936,52.499,51.596,621506.0,601318
2017-09-20,51.916,51.567,52.169,51.489,587189.0,601318
2017-09-21,51.644,52.285,52.693,51.499,727092.0,601318
2017-09-22,52.023,52.499,52.8,51.994,549471.0,601318
2017-09-25,52.509,52.616,53.169,52.285,657944.0,601318
2017-09-26,52.451,52.703,52.781,52.412,427958.0,601318
2017-09-27,52.557,52.072,52.693,51.936,468984.0,601318
2017-09-28,52.072,52.208,52.431,51.8,397737.0,601318
2017-09-29,52.188,52.616,52.8,51.907,434172.0,601318
2017-10-09,54.5,53.199,54.889,53.15,882361.0,601318
2017-10-10,53.296,53.354,53.937,52.276,960683.0,601318
2017-10-11,53.335,53.733,54.131,52.995,664527.0,601318
2017-10-12,53.626,55.482,55.559,53.548,898550.0,601318
2017-10-13,55.287,55.452,55.792,55.112,508153.0,601318
2017-10-16,55.861,55.54,56.881,55.462,749769.0,601318
2017-10-17,55.773,56.288,56.599,55.569,637815.0,601318
2017-10-18,56.405,57.298,57.347,56.22,710379.0,601318
2017-10-19,57.376,57.891,58.241,57.123,741138.0,601318
2017-10-20,57.318,57.337,57.755,56.968,456881.0,601318
2017-10-23,58.027,58.173,58.464,57.512,512391.0,601318
2017-10-24,58.066,58.484,59.319,57.93,705336.0,601318
2017-10-25,58.386,58.367,58.717,58.007,386456.0,601318
2017-10-26,58.289,59.64,60.485,58.153,836840.0,601318
2017-10-27,59.746,62.107,62.156,59.727,876860.0,601318
2017-10-30,62.175,62.233,63.438,61.33,1183831.0,601318
2017-10-31,61.689,62.525,62.661,61.505,513661.0,601318
2017-11-01,62.632,62.292,64.39,61.903,1001119.0,601318
2017-11-02,62.369,62.311,62.554,61.204,824946.0,601318
2017-11-03,62.175,62.612,62.991,61.67,681439.0,601318
2017-11-06,62.845,62.185,62.855,61.126,908570.0,601318
2017-11-07,62.467,63.506,64.672,62.467,1173565.0,601318
2017-11-08,63.535,62.768,64.458,62.486,867820.0,601318
2017-11-09,62.661,64.439,64.497,62.564,708669.0,601318
2017-11-10,64.118,67.897,67.956,64.05,1254060.0,601318
2017-11-13,68.101,68.15,68.558,67.499,752207.0,601318
2017-11-14,68.674,68.412,69.257,67.781,801748.0,601318
